Areaname,FIPS,Total_Area_sq_mi_LND010190D,LND010200D,LND110180D,LND110190D,Land_Area_sq_mi_LND110200D,LND110210D,Water_Area_sq_miLND210190D,LND210200D
"Morgan, CO",08087,1293.97,1293.87,1276.39,1285.46,1285.36,1280.43,8.51,8.51
"Otero, CO",08089,1269.81,1269.74,1246.86,1262.92,1262.86,1261.96,6.89,6.89
"Ouray, CO",08091,542.26,542.21,541.51,542.07,540.47,541.59,0.19,1.74
"Park, CO",08093,2210.82,2210.69,2192.44,2200.82,2200.69,2193.85,10,10
"Phillips, CO",08095,687.78,687.74,687.86,687.66,687.62,687.93,0.12,0.12
"Pitkin, CO",08097,973.28,973.23,968.32,970.47,970.42,970.7,2.81,2.81
"Prowers, CO",08099,1644.46,1644.35,1628.79,1640.49,1640.38,1638.4,3.97,3.97
"Pueblo, CO",08101,2397.86,2397.73,2377.01,2388.81,2388.69,2386.1,9.05,9.04
"Rio Blanco, CO",08103,3223.1,3222.91,3222.04,3221.16,3220.97,3220.93,1.94,1.94
"Rio Grande, CO",08105,913.13,912.14,913.16,912.6,911.6,911.96,0.53,0.53
"Routt, CO",08107,2368.19,2368.02,2366.6,2361.76,2361.59,2362.03,6.43,6.43
"Saguache, CO",08109,3170.46,3170.25,3167.01,3168.65,3168.44,3168.53,1.81,1.82
"San Juan, CO",08111,388.31,388.29,387.77,387.45,387.42,387.49,0.86,0.86
"San Miguel, CO",08113,1288.54,1288.49,1286.94,1286.56,1286.5,1286.61,1.98,1.98
"Sedgwick, CO",08115,549.64,549.6,539.57,548.28,548.24,548.04,1.36,1.36
"Summit, CO",08117,619.29,619.25,607.39,608.21,608.16,608.36,11.08,11.09
"Teller, CO",08119,558.99,558.96,558.74,557.1,557.06,557.06,1.89,1.89
"Washington, CO",08121,2524.29,2524.12,2520.03,2521.15,2520.98,2518.03,3.14,3.13
"Weld, CO",08123,4021.76,4021.56,3990.16,3992.77,3992.45,3987.24,28.99,29.11
"Yuma, CO",08125,2369.22,2369.1,2364.66,2366.15,2365.79,2364.41,3.07,3.3
CONNECTICUT,09000,5543.65,5543.33,4871.61,4845.39,4844.8,4842.36,698.26,698.53
"Fairfield, CT",09001,837.01,836.96,632.22,625.85,625.8,624.89,211.16,211.15
"Hartford, CT",09003,750.61,750.57,739.36,735.5,735.44,735.1,15.11,15.13
"Litchfield, CT",09005,944.63,944.57,921.44,920,919.92,920.56,24.63,24.65
"Middlesex, CT",09007,439.07,439.07,372.68,369.28,369.26,369.3,69.79,69.81
"New Haven, CT",09009,862.06,862.02,610.04,605.79,605.64,604.51,256.27,256.38
"New London, CT",09011,771.71,771.66,668.99,666.07,665.91,664.88,105.64,105.75
"Tolland, CT",09013,417.03,417.01,411.68,410.08,410.07,410.21,6.95,6.94
"Windham, CT",09015,521.51,521.47,515.2,512.8,512.75,512.91,8.71,8.71
DELAWARE,10000,2489.38,2489.27,1932.35,1954.62,1953.56,1948.54,534.76,535.71
"Kent, DE",10001,800.14,800.12,594.74,590.66,589.72,586.18,209.48,210.4
"New Castle, DE",10003,493.53,493.51,395.66,426.3,426.27,426.29,67.23,67.24
"Sussex, DE",10005,1195.7,1195.65,941.95,937.65,937.58,936.08,258.05,258.07
DISTRICT OF COLUMBIA,11000,68.36,68.34,62.7,61.41,61.4,61.05,6.95,6.94
District of Columbia,11001,68.36,68.34,62.7,61.41,61.4,61.05,6.95,6.94
FLORIDA,12000,65758.08,65754.59,54152.88,53997.08,53926.82,53624.76,11761,11827.77
"Alachua, FL",12001,969.18,969.12,901.47,874.3,874.25,875.02,94.88,94.88
"Baker, FL",12003,588.92,588.89,585.17,585.25,585.21,585.23,3.67,3.67
"Bay, FL",12005,1033.35,1033.27,757.59,763.74,763.68,758.46,269.61,269.6
"Bradford, FL",12007,300.06,300.04,292.77,293.15,293.13,293.96,6.91,6.91
"Brevard, FL",12009,1557.25,1556.95,995.41,1018.49,1018.19,1015.66,538.76,538.76
"Broward, FL",12011,1319.74,1319.63,1211.27,1208.89,1205.4,1209.79,110.85,114.24
"Calhoun, FL",12013,574.38,574.34,567.8,567.39,567.31,567.33,6.99,7.03
"Charlotte, FL",12015,859.28,859.12,690.02,693.67,693.6,680.28,165.61,165.51
"Citrus, FL",12017,773.24,773.15,628.64,583.61,583.81,581.7,189.63,189.34
"Clay, FL",12019,643.73,643.69,592.2,601.14,601.11,604.36,42.59,42.59
"Collier, FL",12021,2305.09,2304.93,1994.1,2025.45,2025.34,1998.32,279.64,279.59
"Columbia, FL",12023,801.12,801.04,796.45,797.16,797.05,797.57,3.96,3.99
"DeSoto, FL",12027,639.55,639.5,635.73,637.33,637.27,637.06,2.22,2.23
"Dixie, FL",12029,863.71,863.66,701.29,704.05,704.01,705.05,159.66,159.65
"Duval, FL",12031,918.28,918.24,776.49,773.85,773.67,762.19,144.43,144.57
"Escambia, FL",12033,893.94,875.57,660.44,663.65,662.35,656.46,230.29,213.21
"Flagler, FL",12035,570.79,570.76,490.78,485.02,485,485.46,85.77,85.77
"Franklin, FL",12037,1026.45,1037.48,544.84,533.98,544.34,534.73,492.47,493.14
"Gadsden, FL",12039,528.51,528.49,517.6,516.15,516.13,516.33,12.36,12.35
"Gilchrist, FL",12041,355.49,355.47,353.77,348.86,348.89,349.68,6.63,6.58
"Glades, FL",12043,986.19,986.43,762.97,773.51,773.64,806.01,212.68,212.79
"Gulf, FL",12045,755.78,744.59,558.63,565.06,554.6,564.01,190.72,190
"Hamilton, FL",12047,519.35,519.31,517.49,514.88,514.86,513.79,4.47,4.45
"Hardee, FL",12049,638.38,638.33,637.45,637.36,637.3,637.78,1.02,1.03
"Hendry, FL",12051,1189.89,1189.79,1162.52,1152.7,1152.53,1152.75,37.19,37.26
"Hernando, FL",12053,589.12,589.08,477.22,478.29,478.31,472.54,110.83,110.77
"Highlands, FL",12055,1106.36,1106.28,1028.61,1028.48,1028.27,1016.62,77.88,78.01
"Hillsborough, FL",12057,1266.36,1266.22,1052.86,1051.02,1050.91,1020.21,215.34,215.31
"Holmes, FL",12059,488.75,488.71,487.5,482.54,482.45,478.78,6.21,6.26
"Indian River, FL",12061,616.97,616.92,497.06,503.25,503.23,502.87,113.72,113.69
"Jackson, FL",12063,954.67,954.58,941.58,915.78,915.64,917.76,38.89,38.94
"Jefferson, FL",12065,636.68,636.65,609.27,597.79,597.74,598.1,38.89,38.91
"Lafayette, FL",12067,547.96,547.92,545.2,542.83,542.84,543.41,5.13,5.08
"Lake, FL",12069,1156.51,1156.4,954.36,953.11,953.15,938.38,203.4,203.25
"Lee, FL",12071,1212,1211.89,803.05,803.6,803.63,784.51,408.4,408.26
"Leon, FL",12073,701.83,701.78,675.91,666.8,666.74,666.85,35.03,35.04
"Levy, FL",12075,1412.41,1412.32,1099.56,1118.45,1118.38,1118.21,293.96,293.94
"Liberty, FL",12077,843.22,843.16,837.21,835.93,835.87,835.56,7.29,7.29
"Madison, FL",12079,715.89,715.8,710.34,691.95,691.79,695.95,23.94,24
"Manatee, FL",12081,892.84,892.75,747.13,741.2,741.03,742.93,151.64,151.72
"Marion, FL",12083,1663.1,1663.01,1609.68,1578.99,1578.86,1584.55,84.11,84.15
"Martin, FL",12085,752.86,752.79,554.69,555.68,555.62,543.46,197.18,197.18
"Miami-Dade, FL",12086,2429.59,2431.26,1955.26,1944.46,1946.06,1897.72,485.13,485.19
"Monroe, FL",12087,3737.42,3737.15,1034.1,997.26,996.91,983.28,2740.16,2740.24
"Nassau, FL",12089,725.9,725.86,649.04,651.62,651.55,648.64,74.28,74.3
"Okaloosa, FL",12091,1082.09,1082,935.81,935.79,935.63,930.25,146.3,146.37
"Okeechobee, FL",12093,891.98,891.57,770.49,774.33,773.94,768.91,117.65,117.63
"Orange, FL",12095,1004.31,1004.19,910.49,907.63,907.45,903.43,96.68,96.74
"Osceola, FL",12097,1506.49,1506.35,1349.68,1322.02,1321.9,1327.45,184.47,184.45
"Palm Beach, FL",12099,2386.53,2386.33,1993.11,2034.34,1974.11,1969.76,352.19,412.22
"Pasco, FL",12101,868.02,867.95,737.85,744.99,744.85,746.89,123.03,123.1
"Pinellas, FL",12103,607.75,607.67,280.18,280.15,279.92,273.8,327.6,327.75
"Polk, FL",12105,2010.19,2009.99,1823.13,1874.93,1874.38,1797.84,135.26,135.6
"Putnam, FL",12107,827.22,827.16,732.88,722.17,721.89,727.62,105.05,105.27
"St. Johns, FL",12109,821.47,821.43,617.28,609.04,609.01,600.66,212.43,212.42
"St. Lucie, FL",12111,688.13,688.08,581,572.49,572.45,571.93,115.64,115.63
"Santa Rosa, FL",12113,1155.31,1173.57,1023.52,1015.82,1016.93,1011.61,139.49,156.65
"Sarasota, FL",12115,725.27,725.18,573.14,571.75,571.55,555.87,153.52,153.63
"Seminole, FL",12117,344.9,344.87,298.03,308.23,308.2,309.22,36.67,36.67
"Sumter, FL",12119,580.35,580.31,561.21,545.67,545.73,546.93,34.68,34.58
"Suwannee, FL",12121,691.94,691.9,689.67,687.68,687.64,688.55,4.26,4.26
"Taylor, FL",12123,1232.05,1232.01,1057.52,1041.95,1041.91,1043.31,190.1,190.1
"Union, FL",12125,249.72,249.71,245.76,240.3,240.29,243.56,9.42,9.42
"Volusia, FL",12127,1432.51,1432.44,1112.81,1105.88,1103.25,1101.03,326.63,329.19
"Wakulla, FL",12129,735.78,735.74,601.32,606.69,606.66,606.42,129.09,129.08
"Walton, FL",12131,1238.13,1238.03,1065.75,1057.67,1057.56,1037.63,180.46,180.47
"Washington, FL",12133,615.84,615.79,589.73,579.88,579.93,582.8,35.96,35.86
GEORGIA,13000,59441.22,59424.77,58055.79,57918.73,57906.14,57513.49,1522.49,1518.63
"Appling, GA",13001,512.15,512.11,510.04,508.78,508.51,507.08,3.37,3.61
"Atkinson, GA",13003,344.12,344.1,343.82,338.1,338.04,339.38,6.02,6.05
"Bacon, GA",13005,285.94,285.92,285.65,284.97,284.95,258.58,0.97,0.97
"Baker, GA",13007,349.19,349.17,347.11,343.24,343.22,341.94,5.95,5.95
"Baldwin, GA",13009,267.52,267.5,257.44,258.5,258.45,257.84,9.02,9.05
"Banks, GA",13011,233.88,233.87,233.77,233.68,233.67,232.09,0.2,0.2
"Barrow, GA",13013,162.85,162.84,162.64,162.22,162.17,160.31,0.63,0.67
"Bartow, GA",13015,470.56,470.11,456.12,459.87,459.43,459.54,10.69,10.69
"Ben Hill, GA",13017,254.04,254.03,253.75,251.83,251.79,250.12,2.21,2.23
"Berrien, GA",13019,457.81,457.78,455.7,452.49,452.41,451.9,5.32,5.37
"Bibb, GA",13021,255.17,255.13,253,250,249.96,249.76,5.17,5.17
"Bleckley, GA",13023,219.14,219.14,218.99,217.41,217.39,215.87,1.73,1.74
"Brantley, GA",13025,447.44,447.42,444.5,444.42,444.4,442.36,3.02,3.02
"Brooks, GA",13027,497.81,497.77,491.14,493.73,493.62,493.05,4.08,4.15
"Bryan, GA",13029,454.54,454.49,441.26,441.76,441.71,435.97,12.78,12.78
"Bulloch, GA",13031,688.92,688.84,677.93,682.6,682.07,672.81,6.32,6.77
"Burke, GA",13033,835.06,834.99,832.83,830.57,830.47,826.97,4.49,4.52
"Butts, GA",13035,190.02,190.01,186.9,186.62,186.61,184.39,3.4,3.4
"Calhoun, GA",13037,283.59,283.57,283.76,280.18,280.18,280.37,3.41,3.39
"Camden, GA",13039,782.52,782.52,649.46,629.95,629.91,613.03,152.57,152.61
"Candler, GA",13043,248.85,248.81,248.16,247,246.88,243.04,1.85,1.94
"Carroll, GA",13045,503.86,503.83,501.34,499.27,498.93,499.08,4.59,4.89
"Catoosa, GA",13047,162.67,162.66,162.39,162.23,162.23,162.16,0.44,0.44
"Charlton, GA",13049,783.01,782.97,779.51,780.81,780.77,773.58,2.2,2.2
"Chatham, GA",13051,646.32,632.28,443.44,440.39,438.11,426.44,205.93,194.17
"Chattahoochee, GA",13053,251.19,251.17,250.08,248.8,248.77,248.74,2.39,2.4
"Chattooga, GA",13055,313.97,313.55,313.39,313.75,313.33,313.34,0.22,0.23
"Cherokee, GA",13057,434.03,433.99,423.97,423.75,423.68,421.67,10.28,10.31
"Clarke, GA",13059,121.29,121.28,121.94,120.83,120.79,119.2,0.46,0.49
"Clay, GA",13061,217.01,216.99,196.4,195.22,195.21,195.38,21.79,21.79
"Clayton, GA",13063,144.29,144.28,147.89,142.65,142.62,141.57,1.64,1.66
"Clinch, GA",13065,824.24,824.17,821.37,809.36,809.29,800.22,14.88,14.88
"Cobb, GA",13067,344.54,344.51,343.29,340.22,340.15,339.55,4.32,4.36
"Coffee, GA",13069,602.67,602.61,601.85,599.12,598.9,575.1,3.55,3.72
"Colquitt, GA",13071,556.59,556.55,556.53,552.31,552.27,544.15,4.28,4.28
"Columbia, GA",13073,307.8,307.78,290.17,290.04,290.01,290.09,17.76,17.76
"Cook, GA",13075,233.24,233.22,232.6,229.11,229.02,227.16,4.13,4.2
"Coweta, GA",13077,446.01,445.98,444.45,443.06,442.62,440.89,2.95,3.36
"Crawford, GA",13079,326.48,326.45,327.78,325.14,325.01,324.89,1.34,1.45
"Crisp, GA",13081,281.21,281.2,275.03,273.83,273.82,272.58,7.38,7.38
"Dade, GA",13083,174.1,174.16,175.67,173.92,173.98,173.98,0.18,0.18
"Dawson, GA",13085,213.95,213.93,210.03,211.05,211.04,210.83,2.9,2.9
"Decatur, GA",13087,623.2,623.16,585.79,596.84,596.8,597.14,26.36,26.36
"DeKalb, GA",13089,270.94,270.91,269.96,268.29,268.21,267.58,2.65,2.7
"Dodge, GA",13091,503.2,503.17,503.91,500.65,500.29,495.89,2.55,2.88
"Dooly, GA",13093,397.15,397.07,396.79,392.96,392.88,391.94,4.19,4.19
"Dougherty, GA",13095,334.67,334.64,329.54,329.69,329.6,328.69,4.98,5.04
"Douglas, GA",13097,200.27,200.26,202.71,199.31,199.3,200.07,0.96,0.96
"Early, GA",13099,516.31,516.27,516.08,511.28,511.23,512.59,5.03,5.04
"Echols, GA",13101,420.83,420.8,420.59,404.16,404.13,414.89,16.67,16.67
"Effingham, GA",13103,482.89,482.82,481.92,479.49,479.41,477.7,3.4,3.4
"Elbert, GA",13105,374.57,374.54,366.73,368.79,368.76,351.06,5.78,5.78
"Emanuel, GA",13107,690.4,690.33,688.32,685.97,685.79,680.6,4.43,4.54
"Evans, GA",13109,186.9,186.88,186.47,185.02,184.92,182.85,1.88,1.96
"Fannin, GA",13111,391.46,391.43,384.2,385.77,385.74,386.72,5.69,5.69
"Fayette, GA",13113,199.27,199.25,199.04,197.4,197.05,194.34,1.87,2.2
"Floyd, GA",13115,518.5,518.46,518.66,513.29,513.13,509.91,5.21,5.33
"Forsyth, GA",13117,247.38,247.37,226.24,225.8,225.8,224.02,21.58,21.57
"Franklin, GA",13119,266.38,266.37,263.8,263.32,263.29,261.5,3.06,3.07
"Fulton, GA",13121,534.59,534.61,533.94,528.69,528.66,526.64,5.9,5.95
"Gilmer, GA",13123,431.85,431.83,427.39,426.71,426.69,426.54,5.14,5.14
"Glascock, GA",13125,144.46,144.45,144.34,144.2,144.14,143.74,0.26,0.31
"Glynn, GA",13127,583.07,585.17,412.4,422.41,422.37,419.75,160.66,162.8
"Gordon, GA",13129,357.63,358.01,354.97,355.15,355.54,355.81,2.48,2.48
"Grady, GA",13131,460.37,460.34,458.98,458.15,458.12,454.53,2.22,2.22
"Greene, GA",13133,406.28,406.24,389.45,388.37,388.28,387.44,17.91,17.96
"Gwinnett, GA",13135,436.74,436.72,435.09,432.86,432.73,430.38,3.88,3.99
"Habersham, GA",13137,279.21,279.2,278.26,278.2,278.17,276.74,1.01,1.03
"Hall, GA",13139,429.21,429.19,379.2,393.67,393.66,392.78,35.54,35.53
"Hancock, GA",13141,478.8,478.76,469.66,473.33,473.28,471.84,5.47,5.48
"Haralson, GA",13143,283.19,283.16,282.59,282.17,282.11,282.17,1.02,1.05
"Harris, GA",13145,472.97,472.93,464.44,463.75,463.69,463.87,9.22,9.24
"Hart, GA",13147,256.43,256.42,229.97,232.22,232.21,232.39,24.21,24.21
"Heard, GA",13149,301.11,301.08,291.83,296.06,296.03,296.03,5.05,5.06
"Henry, GA",13151,324.49,324.48,320.64,322.68,322.71,322.13,1.81,1.77
"Houston, GA",13153,379.87,379.83,379.75,376.79,376.75,375.54,3.08,3.08
"Irwin, GA",13155,362.75,362.73,362.23,356.83,356.81,354.34,5.92,5.92
"Jackson, GA",13157,343.02,343,342.12,342.39,342.36,339.66,0.63,0.64
"Jasper, GA",13159,373.6,373.58,371.33,370.46,370.42,368.17,3.14,3.16
"Jeff Davis, GA",13161,335.46,335.42,335.06,333.42,333.38,330.74,2.04,2.04
"Jefferson, GA",13163,529.6,529.56,529.15,527.69,527.65,526.49,1.91,1.91
"Jenkins, GA",13165,352.48,352.45,352.6,349.84,349.81,347.28,2.64,2.64
"Johnson, GA",13167,306.54,306.52,306.41,304.42,304.26,303.01,2.12,2.26
"Jones, GA",13169,395.41,395.39,394.33,393.78,393.75,393.93,1.63,1.64
"Lamar, GA",13171,185.81,185.79,185.56,184.84,184.82,183.5,0.97,0.97
"Lanier, GA",13173,199.84,199.83,193.7,186.82,186.82,185.26,13.02,13.01
"Laurens, GA",13175,818.56,818.51,815.73,812.63,812.27,807.3,5.93,6.24
"Lee, GA",13177,362.03,362.01,358.44,355.8,355.77,355.78,6.23,6.24
"Liberty, GA",13179,602.58,602.52,516.67,519.12,519.05,489.8,83.46,83.47
"Lincoln, GA",13181,257.31,257.28,195.66,211.11,211.09,210.38,46.2,46.19
"Long, GA",13183,403.53,403.49,402.13,401.04,400.92,400.29,2.49,2.57
"Lowndes, GA",13185,510.66,510.63,506.77,504.26,504.22,496.07,6.4,6.41
"Lumpkin, GA",13187,284.89,284.87,287.11,284.49,284.47,282.93,0.4,0.4
"McDuffie, GA",13189,266.32,266.3,255.95,259.79,259.77,257.46,6.53,6.52
"McIntosh, GA",13191,574.76,574.53,425.04,433.46,433.45,424.3,141.3,141.08
"Macon, GA",13193,405.99,405.95,403.83,403.32,403.28,400.64,2.67,2.67
"Madison, GA",13195,285.6,285.57,285.17,284.44,283.88,282.31,1.16,1.69
"Marion, GA",13197,367.53,367.49,366.19,367.06,367,366,0.47,0.49
"Meriwether, GA",13199,505.39,505.34,505.74,503.36,503.28,501.22,2.03,2.06
"Miller, GA",13201,283.74,283.72,283.6,283.07,283.05,282.42,0.67,0.68
"Mitchell, GA",13205,513.84,513.81,512.36,512.02,511.96,512.09,1.82,1.85
"Monroe, GA",13207,397.83,397.8,396.81,395.66,395.63,395.66,2.17,2.17
"Montgomery, GA",13209,247.34,247.32,244.16,245.35,245.33,239.52,1.99,1.99
"Morgan, GA",13211,354.62,354.6,348.91,349.66,349.64,347.35,4.96,4.96
"Murray, GA",13213,346.9,346.88,344.65,344.44,344.41,344.47,2.46,2.47
"Muscogee, GA",13215,221.02,221,217.83,216.31,216.26,216.39,4.71,4.74
"Newton, GA",13217,279.21,279.19,277.34,276.45,276.43,272.16,2.76,2.76
"Oconee, GA",13219,186.15,186.14,186.38,185.77,185.7,184.29,0.38,0.44
"Oglethorpe, GA",13221,442.2,442.17,441.63,441.14,441.11,439.01,1.06,1.06
"Paulding, GA",13223,315.09,315.06,312.33,313.56,313.43,312.22,1.53,1.63
"Peach, GA",13225,151.47,151.46,151.52,151.08,151.06,150.27,0.39,0.4
"Pickens, GA",13227,232.8,232.78,232.11,232.15,232.13,232.06,0.65,0.65
"Pierce, GA",13229,343.67,343.9,343.91,343.03,343.25,316.49,0.64,0.65
"Pike, GA",13231,219.45,219.43,219.28,218.43,218.37,216.09,1.02,1.06
"Polk, GA",13233,312.16,312.13,311.43,311.17,311.14,310.33,0.99,0.99
"Pulaski, GA",13235,249.87,249.89,249.22,247.4,247.42,249.03,2.47,2.47
"Putnam, GA",13237,360.66,360.63,343.53,344.5,344.53,344.64,16.16,16.1
"Quitman, GA",13239,160.93,160.92,146,151.55,151.54,151.24,9.38,9.38
"Rabun, GA",13241,377.01,376.99,370.39,371.07,371.05,369.99,5.94,5.94
"Randolph, GA",13243,430.92,430.89,430.53,429.28,429.25,428.24,1.64,1.64
"Richmond, GA",13245,328.5,328.45,325.92,324.07,324.04,324.33,4.43,4.41
"Rockdale, GA",13247,132.13,132.13,131.95,130.7,130.63,129.79,1.43,1.5
"Schley, GA",13249,167.83,167.82,168.99,167.62,167.61,166.91,0.21,0.21
"Screven, GA",13251,655.66,655.59,654.75,648.55,648.44,645.1,7.11,7.14
"Seminole, GA",13253,256.58,256.56,225.33,238.05,238.04,235.23,18.53,18.52
"Spalding, GA",13255,199.61,199.6,199.22,197.97,197.95,196.47,1.64,1.65
"Stephens, GA",13257,184.24,184.23,177.12,179.27,179.26,179.13,4.97,4.97
"Stewart, GA",13259,463.26,463.23,452.25,458.74,458.7,458.73,4.52,4.53
"Sumter, GA",13261,492.58,492.54,488.54,485.32,485.28,482.7,7.26,7.26
"Talbot, GA",13263,394.77,394.74,394.53,393.24,393.21,391.39,1.53,1.52
"Taliaferro, GA",13265,195.48,195.47,195.85,195.4,195.39,194.61,0.08,0.08
"Tattnall, GA",13267,488.27,488.22,483.87,483.75,483.69,479.4,4.52,4.53
"Taylor, GA",13269,379.65,379.61,381.65,377.48,377.44,376.69,2.17,2.17
"Telfair, GA",13271,444.12,444.08,443.9,441.17,441.09,437.3,2.95,2.99
"Terrell, GA",13273,337.65,337.63,336.98,335.48,335.37,335.44,2.17,2.26
"Thomas, GA",13275,552.13,552.08,550.58,548.44,548.3,544.6,3.69,3.78
"Tift, GA",13277,268.88,268.86,268.44,265.14,265.05,258.92,3.74,3.81
"Toombs, GA",13279,368.67,368.64,371.04,366.73,366.65,364.01,1.94,1.99
"Towns, GA",13281,171.87,172.01,164.87,166.52,166.66,166.56,5.35,5.35
"Treutlen, GA",13283,202.22,202.19,202.06,200.73,200.66,199.44,1.49,1.53
"Troup, GA",13285,445.99,445.96,414.48,413.95,413.9,413.99,32.04,32.06
"Turner, GA",13287,289.87,289.85,289.05,286.08,286.03,285.39,3.79,3.83
"Twiggs, GA",13289,362.92,362.95,361.66,360.37,360.29,358.4,2.55,2.66
"Union, GA",13291,329.19,329.02,319.9,322.71,322.55,321.93,6.48,6.47
"Upson, GA",13293,327.67,327.64,325.69,325.53,325.48,323.44,2.14,2.15
"Walker, GA",13295,446.74,447.03,445.97,446.29,446.58,446.38,0.45,0.45
"Walton, GA",13297,330.07,330.05,330.2,329.26,329.18,325.68,0.81,0.87
"Ware, GA",13299,906.62,906.31,907.12,902.6,902.29,892.46,4.02,4.02
"Warren, GA",13301,286.76,286.74,285.52,285.54,285.52,284.3,1.22,1.22
"Washington, GA",13303,684.43,684.37,683.51,680.47,680.34,678.45,3.96,4.03
"Wayne, GA",13305,648.85,648.8,646.89,644.74,644.66,641.78,4.11,4.13
"Webster, GA",13307,210.27,210.26,209.87,209.55,209.54,209.12,0.72,0.72
"Wheeler, GA",13309,300.16,300.14,299.08,297.74,297.72,295.48,2.42,2.42
"White, GA",13311,242.18,242.16,242.04,241.62,241.58,240.69,0.56,0.58
"Whitfield, GA",13313,290.68,290.65,290.82,290.02,289.99,290.46,0.66,0.66
"Wilcox, GA",13315,383.32,383.3,381.94,380.38,380.3,377.71,2.94,3
"Wilkes, GA",13317,474.03,474,470.11,471.41,471.37,469.49,2.62,2.62
"Wilkinson, GA",13319,452.03,452.01,451.48,446.59,446.56,447.31,5.44,5.45
"Worth, GA",13321,574.61,574.58,575.04,569.82,569.73,570.7,4.79,4.86
HAWAII,15000,10931.58,10930.98,6425.23,6423.34,6422.62,6422.63,4508.24,4508.36
"Hawaii, HI",15001,5086.97,5086.7,4034.19,4028.23,4028.02,4028.42,1058.74,1058.69
"Honolulu, HI",15003,2126.98,2126.85,596.32,600.18,599.77,600.74,1526.8,1527.08
"Kalawao, HI",15005,52.33,52.33,13.32,13.21,13.21,11.99,39.12,39.12
"Kauai, HI",15007,1266.45,1266.37,619.8,622.48,622.44,619.96,643.97,643.93
"Maui, HI",15009,2398.87,2398.74,1161.6,1159.26,1159.2,1161.52,1239.61,1239.54
IDAHO,16000,83573.77,83570.08,82411.91,82750.93,82747.21,82643.12,822.84,822.87
"Ada, ID",16001,1060.38,1060.33,1051.6,1055.04,1054.99,1052.58,5.34,5.34
"Adams, ID",16003,1370.11,1370,1361.86,1364.69,1364.58,1363.06,5.42,5.43
"Bannock, ID",16005,1147.5,1147.46,1111.85,1113.22,1113.3,1111.99,34.28,34.16
"Bear Lake, ID",16007,1049.49,1049.44,990.34,971.43,971.38,974.79,78.06,78.05
"Benewah, ID",16009,784.01,783.98,783.87,776.03,776.07,776.62,7.98,7.91
"Bingham, ID",16011,2120.34,2120.24,2095.6,2094.84,2094.73,2093.98,25.5,25.51
"Blaine, ID",16013,2661.14,2661.02,2634.37,2644.9,2644.78,2643.59,16.24,16.24
"Boise, ID",16015,1906.81,1906.76,1900.62,1902.51,1902.46,1899.24,4.3,4.3
"Bonner, ID",16017,1919.62,1919.59,1726.44,1737.62,1737.67,1734.57,182,181.92
"Bonneville, ID",16019,1900.74,1900.65,1839.61,1868.59,1868.48,1866.08,32.15,32.18
"Boundary, ID",16021,1278.2,1278.21,1268.05,1268.8,1268.81,1268.56,9.4,9.4
"Butte, ID",16023,2233.66,2233.59,2236.44,2232.92,2232.85,2231.67,0.74,0.74
"Camas, ID",16025,1079.06,1079.02,1071.06,1075,1074.96,1074.49,4.06,4.06
"Canyon, ID",16027,603.52,603.51,583.85,589.76,589.72,587.37,13.76,13.79
"Caribou, ID",16029,1798.73,1798.62,1762.75,1766.12,1766.01,1764.15,32.61,32.61
"Cassia, ID",16031,2580.45,2580.31,2560.31,2566.59,2566.45,2565.08,13.86,13.86
"Clark, ID",16033,1765.28,1765.21,1763.26,1764.7,1764.63,1764.19,0.58,0.58
"Clearwater, ID",16035,2488.26,2488.1,2236.36,2461.56,2461.4,2457.27,26.7,26.7
"Custer, ID",16037,4936.92,4936.79,4927.42,4925.6,4925.45,4920.94,11.32,11.34
"Elmore, ID",16039,3100.69,3100.51,3071.33,3077.77,3077.57,3074.74,22.92,22.93
"Franklin, ID",16041,668.4,668.36,663.53,665.48,665.43,663.65,2.92,2.92
"Fremont, ID",16043,1895.67,1895.59,1851.58,1866.83,1866.76,1863.53,28.84,28.84
"Gem, ID",16045,565.77,565.75,558.11,562.6,562.58,560.9,3.17,3.17
"Gooding, ID",16047,733.89,733.84,728.28,730.85,730.78,728.97,3.04,3.06
"Idaho, ID",16049,8502.78,8502.48,8497.43,8485.19,8484.88,8477.35,17.59,17.59
"Jefferson, ID",16051,1105.62,1105.55,1092.67,1095.14,1095.08,1093.5,10.48,10.47
"Jerome, ID",16053,601.91,601.87,600.9,599.88,599.84,597.19,2.03,2.03
"Kootenai, ID",16055,1315.77,1315.69,1239.89,1245.2,1245.12,1244.13,70.57,70.57
"Latah, ID",16057,1076.94,1076.89,1076.87,1076.7,1076.65,1076,0.24,0.24
"Lemhi, ID",16059,4569.68,4569.5,4563.93,4564.33,4564.16,4563.39,5.35,5.35
